               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10715,            0.015921,            0.081977,           0.0063084,                0.35,            0.013717,           0.0019604,            0.075675,            0.010451,            0.049251,              0.0991,              0.0001,              0.0001
                   1,             0.11767,            0.013085,            0.075497,           0.0071945,                 0.4,             0.01914,           0.0027458,            0.074355,            0.010676,            0.049127,            0.097299,          0.00029941,          0.00029941
                   2,             0.10445,            0.015742,            0.077367,           0.0078135,                0.45,            0.018667,           0.0030852,            0.072337,            0.011019,            0.048772,            0.095498,          0.00049802,          0.00049802
                   3,            0.099391,              0.0142,            0.075474,           0.0092813,                0.55,            0.018318,           0.0033127,            0.069867,            0.011455,            0.048476,            0.093696,          0.00069584,          0.00069584
                   4,             0.10095,            0.021395,            0.073854,           0.0096872,                 0.6,            0.012348,           0.0025201,            0.066916,            0.011967,            0.048016,            0.091893,          0.00089287,          0.00089287
                   5,            0.092285,            0.015939,             0.07307,           0.0099291,                0.55,            0.010927,           0.0019813,            0.063161,            0.012804,            0.048182,            0.090089,           0.0010891,           0.0010891
                   6,            0.092424,            0.019016,            0.070264,            0.010149,                0.65,             0.01049,           0.0022239,            0.059939,            0.013215,            0.047493,            0.088285,           0.0012846,           0.0012846
                   7,            0.079791,            0.016574,            0.063851,            0.011112,                0.75,            0.015995,           0.0030872,            0.057751,            0.013473,            0.046509,            0.086479,           0.0014792,           0.0014792
                   8,            0.083814,            0.021612,            0.066556,            0.012683,                 0.9,            0.022539,            0.004331,            0.055166,            0.013769,            0.045743,            0.084673,           0.0016731,           0.0016731
                   9,            0.082586,            0.025061,             0.06774,            0.011832,                0.95,            0.020281,           0.0037806,            0.054672,            0.013724,            0.045136,            0.082866,           0.0018661,           0.0018661
                  10,             0.08551,              0.0205,            0.067848,            0.012338,                   1,            0.025306,            0.004662,              0.0533,            0.013816,            0.044583,            0.081058,           0.0020584,           0.0020584
                  11,            0.067288,            0.018902,            0.052247,            0.012162,                   1,            0.044643,             0.01036,            0.052011,            0.013821,            0.044146,             0.07925,           0.0022499,           0.0022499
                  12,            0.076199,            0.024177,            0.058979,            0.012026,                   1,            0.078433,            0.016819,            0.050895,            0.013897,            0.043384,            0.077441,           0.0024406,           0.0024406
                  13,            0.079362,             0.02552,            0.057677,            0.011828,                   1,             0.13938,            0.031025,            0.050674,            0.013257,            0.042994,            0.075631,           0.0026305,           0.0026305
                  14,            0.066967,            0.022355,            0.054068,            0.011603,                   1,             0.13214,            0.036183,            0.048558,            0.013337,            0.041444,             0.07382,           0.0028196,           0.0028196
                  15,            0.058106,            0.020247,            0.045387,             0.01071,                   1,             0.19542,            0.049037,            0.049073,            0.013369,            0.040595,            0.072008,           0.0030079,           0.0030079
                  16,            0.066232,            0.023364,            0.050005,            0.010704,                   1,             0.17182,             0.04964,            0.041778,            0.014608,            0.037937,            0.070195,           0.0031955,           0.0031955
                  17,            0.065936,            0.027082,            0.048628,            0.054419,                   1,             0.39254,             0.16415,            0.038936,             0.01415,            0.036355,            0.068382,           0.0033822,           0.0033822
                  18,            0.071815,            0.025688,            0.050422,             0.64147,                0.25,              0.2929,             0.13276,            0.040468,            0.012727,            0.033265,            0.066568,           0.0035681,           0.0035681
                  19,            0.061597,            0.016838,            0.046536,            0.079288,                 0.4,             0.23166,            0.099839,            0.042987,            0.011826,            0.031419,            0.064753,           0.0037533,           0.0037533
                  20,            0.068133,            0.021011,              0.0502,              0.1815,                 0.8,             0.24338,              0.1059,            0.043932,            0.011414,            0.030155,            0.062938,           0.0039376,           0.0039376
                  21,            0.062936,            0.028332,            0.043236,             0.17275,                 0.9,             0.38979,             0.17451,            0.041777,            0.011235,            0.029071,            0.061121,           0.0041212,           0.0041212
                  22,            0.059342,            0.023275,            0.039517,             0.22555,                 0.7,              0.2821,             0.18185,            0.048528,            0.010764,            0.028455,            0.059304,            0.004304,            0.004304
                  23,            0.066306,            0.022318,            0.040283,             0.35925,             0.74869,             0.49108,             0.29271,            0.041597,             0.01136,            0.027431,            0.057486,            0.004486,            0.004486
                  24,            0.060624,            0.027224,            0.039788,             0.22914,                0.55,             0.34062,              0.1308,            0.043147,             0.01199,            0.027452,            0.055667,           0.0046672,           0.0046672
                  25,            0.048274,            0.015184,            0.032409,             0.36681,                0.85,             0.47776,             0.17986,            0.047745,            0.010801,            0.027383,            0.053848,           0.0048475,           0.0048475
                  26,            0.065938,            0.019555,            0.040026,             0.31941,                0.65,             0.39274,             0.18126,            0.049777,            0.011945,            0.027256,            0.052027,           0.0050272,           0.0050272
                  27,            0.070548,            0.018835,            0.038808,             0.31941,                0.65,             0.39274,             0.18126,            0.049777,            0.011945,            0.027256,            0.050206,            0.005206,            0.005206
                  28,            0.067359,            0.018159,            0.036162,             0.41608,             0.82025,             0.52006,             0.21603,            0.046992,            0.011464,            0.027265,            0.048384,            0.005384,            0.005384
                  29,            0.060894,             0.01681,            0.033523,             0.34327,                 0.8,             0.54633,             0.25089,            0.056269,            0.011974,            0.027075,            0.046561,           0.0055612,           0.0055612
                  30,            0.068664,            0.016724,            0.035007,             0.34327,                 0.8,             0.54633,             0.25089,            0.056269,            0.011974,            0.027075,            0.044738,           0.0057377,           0.0057377
                  31,            0.061584,             0.02137,            0.035448,             0.41931,             0.86686,             0.62063,             0.22097,            0.039909,            0.012613,            0.027034,            0.042913,           0.0059133,           0.0059133
                  32,            0.057482,            0.017448,            0.033886,             0.10631,             0.87654,             0.13176,             0.04967,            0.054629,            0.013016,            0.026761,            0.041088,           0.0060882,           0.0060882
                  33,            0.071797,            0.015191,            0.033943,             0.10631,             0.87654,             0.13176,             0.04967,            0.054629,            0.013016,            0.026761,            0.039262,           0.0062622,           0.0062622
                  34,             0.06872,            0.020138,            0.032195,             0.49354,             0.82971,             0.58337,             0.12899,            0.054311,            0.012767,            0.026318,            0.037435,           0.0064355,           0.0064355
                  35,            0.073818,            0.016012,            0.034568,             0.41312,                 0.8,              0.5548,             0.17211,            0.050505,            0.012056,            0.025272,            0.035608,            0.006608,            0.006608
                  36,            0.066713,            0.015729,            0.032996,             0.41312,                 0.8,              0.5548,             0.17211,            0.050505,            0.012056,            0.025272,             0.03378,           0.0067797,           0.0067797
                  37,            0.065247,            0.016218,             0.03181,             0.36951,                 0.8,             0.52364,             0.20847,            0.051881,            0.011069,            0.024786,            0.031951,           0.0069505,           0.0069505
                  38,            0.069527,            0.014417,            0.032558,             0.21424,             0.78288,              0.3059,             0.10807,            0.044677,            0.011151,            0.023847,            0.030121,           0.0071207,           0.0071207
                  39,            0.064434,            0.015583,            0.034386,             0.21424,             0.78288,              0.3059,             0.10807,            0.044677,            0.011151,            0.023847,             0.02829,             0.00729,             0.00729
                  40,            0.064089,            0.014916,            0.032077,             0.13767,                0.65,             0.19916,            0.061266,            0.056391,            0.010706,            0.023451,            0.026458,           0.0074585,           0.0074585
                  41,            0.068415,            0.015623,            0.032713,             0.21432,                 0.9,             0.28078,              0.1195,            0.037309,            0.010579,            0.022726,            0.024626,           0.0076262,           0.0076262
                  42,            0.058136,            0.014435,            0.030969,             0.21432,                 0.9,             0.28078,              0.1195,            0.037309,            0.010579,            0.022726,            0.022793,           0.0077931,           0.0077931
                  43,            0.059549,            0.017457,            0.032825,             0.24116,             0.79265,              0.3552,             0.15052,            0.053835,            0.010267,            0.022789,            0.020959,           0.0079593,           0.0079593
                  44,            0.070993,            0.015295,            0.030125,             0.24116,             0.79265,              0.3552,             0.15052,            0.053835,            0.010267,            0.022789,            0.019125,           0.0081246,           0.0081246
                  45,            0.074338,            0.016515,            0.032165,              0.1635,                0.55,             0.24508,            0.081386,            0.049477,             0.01047,             0.02188,            0.017289,           0.0082892,           0.0082892
                  46,            0.065809,            0.017209,            0.033063,              0.1635,                0.55,             0.24508,            0.081386,            0.049477,             0.01047,             0.02188,            0.015453,            0.008453,            0.008453
                  47,            0.066179,            0.013596,            0.031272,             0.33931,             0.73846,             0.45599,             0.18925,            0.045421,            0.010613,            0.021267,            0.013616,           0.0086159,           0.0086159
                  48,            0.056172,            0.015301,            0.031221,             0.33931,             0.73846,             0.45599,             0.18925,            0.045421,            0.010613,            0.021267,            0.011778,           0.0087781,           0.0087781
                  49,            0.053299,            0.015499,            0.032476,             0.12772,                 0.8,             0.16802,            0.066015,            0.045768,            0.010305,            0.021129,           0.0099395,           0.0089395,           0.0089395
                  50,            0.055506,            0.012828,            0.026859,             0.12772,                 0.8,             0.16802,            0.066015,            0.045768,            0.010305,            0.021129,             0.00901,             0.00901,             0.00901
                  51,            0.063807,            0.017793,            0.031519,              0.5556,             0.84169,             0.60419,             0.16885,            0.047763,            0.010206,            0.020893,             0.00901,             0.00901,             0.00901
                  52,             0.06374,            0.013507,            0.030282,              0.5556,             0.84169,             0.60419,             0.16885,            0.047763,            0.010206,            0.020893,           0.0089902,           0.0089902,           0.0089902
                  53,            0.064971,            0.015875,            0.031954,             0.47515,                 0.8,             0.49676,             0.16419,            0.034181,            0.010593,            0.020578,           0.0089704,           0.0089704,           0.0089704
                  54,            0.057003,            0.016045,             0.03118,             0.47515,                 0.8,             0.49676,             0.16419,            0.034181,            0.010593,            0.020578,           0.0089506,           0.0089506,           0.0089506
                  55,            0.058565,            0.014474,             0.03137,             0.49027,                0.75,             0.59122,             0.15512,            0.041773,            0.010254,            0.020555,           0.0089308,           0.0089308,           0.0089308
                  56,            0.052913,            0.018055,            0.031761,             0.49027,                0.75,             0.59122,             0.15512,            0.041773,            0.010254,            0.020555,            0.008911,            0.008911,            0.008911
                  57,            0.047036,            0.018921,            0.030126,             0.51275,             0.78357,             0.66246,             0.32968,            0.039185,            0.011488,            0.020318,           0.0088912,           0.0088912,           0.0088912
                  58,            0.058863,            0.017264,            0.030792,             0.51275,             0.78357,             0.66246,             0.32968,            0.039185,            0.011488,            0.020318,           0.0088714,           0.0088714,           0.0088714
                  59,            0.057028,            0.015139,            0.028401,             0.36241,                0.55,             0.49884,             0.13701,            0.039956,            0.010794,            0.020243,           0.0088516,           0.0088516,           0.0088516
                  60,            0.055975,            0.019064,            0.031351,             0.36241,                0.55,             0.49884,             0.13701,            0.039956,            0.010794,            0.020243,           0.0088318,           0.0088318,           0.0088318
                  61,            0.062845,            0.015407,            0.031307,              0.5409,                0.95,             0.77085,              0.3945,            0.038119,            0.011992,            0.020018,            0.008812,            0.008812,            0.008812
                  62,            0.058829,             0.01253,            0.032075,              0.5409,                0.95,             0.77085,              0.3945,            0.038119,            0.011992,            0.020018,           0.0087922,           0.0087922,           0.0087922
                  63,            0.058101,            0.019743,            0.029195,             0.37576,                 0.8,             0.51069,             0.19507,             0.03831,            0.011256,            0.020447,           0.0087724,           0.0087724,           0.0087724
                  64,            0.052808,            0.017882,            0.030278,             0.37576,                 0.8,             0.51069,             0.19507,             0.03831,            0.011256,            0.020447,           0.0087526,           0.0087526,           0.0087526
                  65,            0.055136,            0.014676,            0.028827,             0.43062,             0.81436,             0.57492,             0.25934,            0.037826,            0.011923,            0.020461,           0.0087328,           0.0087328,           0.0087328
                  66,            0.053048,            0.013424,            0.030096,             0.43062,             0.81436,             0.57492,             0.25934,            0.037826,            0.011923,            0.020461,            0.008713,            0.008713,            0.008713
                  67,            0.053797,            0.016669,             0.03101,             0.44345,             0.72406,             0.58621,             0.26989,            0.035155,            0.011519,            0.020525,           0.0086932,           0.0086932,           0.0086932
                  68,             0.05867,             0.01511,            0.030117,             0.44345,             0.72406,             0.58621,             0.26989,            0.035155,            0.011519,            0.020525,           0.0086734,           0.0086734,           0.0086734
                  69,             0.05618,            0.016837,            0.027892,             0.31984,                 0.6,             0.57453,             0.26949,            0.036081,           0.0099888,            0.020223,           0.0086536,           0.0086536,           0.0086536
                  70,            0.046202,            0.019228,            0.029275,             0.31984,                 0.6,             0.57453,             0.26949,            0.036081,           0.0099888,            0.020223,           0.0086338,           0.0086338,           0.0086338
                  71,            0.046454,            0.014649,            0.030799,             0.38598,             0.69818,             0.61675,              0.3263,            0.028646,           0.0097619,            0.019971,            0.008614,            0.008614,            0.008614
                  72,            0.058154,             0.01494,            0.028387,             0.38598,             0.69818,             0.61675,              0.3263,            0.028646,           0.0097619,            0.019971,           0.0085942,           0.0085942,           0.0085942
                  73,            0.055116,            0.012614,            0.025915,             0.56383,             0.64956,             0.62825,             0.39413,            0.041976,           0.0086772,            0.019806,           0.0085744,           0.0085744,           0.0085744
                  74,            0.053386,             0.01119,            0.030361,             0.56383,             0.64956,             0.62825,             0.39413,            0.041976,           0.0086772,            0.019806,           0.0085546,           0.0085546,           0.0085546
                  75,            0.043282,            0.011627,            0.024319,             0.42766,                   1,             0.58057,             0.31773,            0.026239,            0.008478,            0.019359,           0.0085348,           0.0085348,           0.0085348
                  76,            0.046843,            0.016105,            0.027526,             0.42766,                   1,             0.58057,             0.31773,            0.026239,            0.008478,            0.019359,            0.008515,            0.008515,            0.008515
                  77,            0.038863,            0.013694,            0.029078,             0.50173,                   1,             0.69893,             0.29656,            0.029473,           0.0074479,            0.019019,           0.0084952,           0.0084952,           0.0084952
                  78,            0.046642,            0.013788,             0.02975,             0.50173,                   1,             0.69893,             0.29656,            0.029473,           0.0074479,            0.019019,           0.0084754,           0.0084754,           0.0084754
                  79,            0.039587,            0.010556,            0.023398,             0.52361,                 0.8,              0.6903,              0.2267,            0.043439,           0.0074121,            0.018918,           0.0084556,           0.0084556,           0.0084556
                  80,            0.041889,            0.014664,            0.029491,             0.52361,                 0.8,              0.6903,              0.2267,            0.043439,           0.0074121,            0.018918,           0.0084358,           0.0084358,           0.0084358
                  81,            0.046843,           0.0098707,            0.021828,             0.56863,                 0.8,             0.77318,             0.50175,            0.036823,           0.0068236,            0.018519,            0.008416,            0.008416,            0.008416
                  82,             0.04643,            0.012634,            0.029169,             0.56863,                 0.8,             0.77318,             0.50175,            0.036823,           0.0068236,            0.018519,           0.0083962,           0.0083962,           0.0083962
                  83,            0.045848,            0.015452,            0.026148,             0.60383,             0.93836,             0.82778,             0.27991,            0.031327,           0.0073934,            0.017961,           0.0083764,           0.0083764,           0.0083764
                  84,            0.049907,            0.012323,            0.026371,             0.60383,             0.93836,             0.82778,             0.27991,            0.031327,           0.0073934,            0.017961,           0.0083566,           0.0083566,           0.0083566
                  85,            0.044775,            0.013146,            0.029547,             0.60493,             0.88487,             0.78021,             0.50874,            0.026834,           0.0074406,            0.018175,           0.0083368,           0.0083368,           0.0083368
                  86,            0.044421,            0.013943,            0.027574,             0.60493,             0.88487,             0.78021,             0.50874,            0.026834,           0.0074406,            0.018175,            0.008317,            0.008317,            0.008317
                  87,            0.043106,            0.012905,            0.025141,              0.4961,             0.82226,             0.57604,             0.24555,            0.027851,           0.0070205,            0.017873,           0.0082972,           0.0082972,           0.0082972
                  88,            0.044962,            0.015465,            0.027081,              0.4961,             0.82226,             0.57604,             0.24555,            0.027851,           0.0070205,            0.017873,           0.0082774,           0.0082774,           0.0082774
                  89,            0.043132,             0.01133,            0.026848,             0.60298,              0.8004,             0.79687,             0.47212,            0.025858,           0.0070998,            0.017175,           0.0082576,           0.0082576,           0.0082576
                  90,            0.037568,            0.013523,            0.023359,             0.60298,              0.8004,             0.79687,             0.47212,            0.025858,           0.0070998,            0.017175,           0.0082378,           0.0082378,           0.0082378
                  91,            0.036566,            0.013249,            0.024047,             0.64973,                0.85,             0.76097,             0.44853,             0.02891,           0.0070089,            0.016587,            0.008218,            0.008218,            0.008218
